#下起第一行必须是"type,NTC,", 后续各行是"名称,值,", 直到"###"打头行; 后续各行是表格;"#"打头行为注释行,表头#打头是格式行
type,NTC,
PN,010204,
model,NTC4700_B3950,
value,4700,
precision,0.01,
X_unit,°C ,
Y_unit,ohm,

###下行为格式行
#Tempr.,Rmin,R,Rmax,
00,15010,15300,15589,
01,14349,14620,14890,
02,13687,13940,14192,
03,13024,13260,13495,
04,12361,12580,12798,
05,11707,11910,12112,
06,11200,11390,11579,
07,10702,10880,11057,
08,10195,10360,10524,
09,9696,9850,10003,
10,9198,9340,9481,
11,8817,8950,9082,
12,8436,8560,8683,
13,8044,8160,8275,
14,7663,7770,7876,
15,7279,7378,7476,
16,6987,7080,7172,
17,6693,6780,6866,
18,6389,6470,6550,
19,6095,6170,6244,
20,5800,5869,5937,
21,5575,5640,5704,
22,5340,5400,5459,
23,5114,5170,5225,
24,4879,4930,4980,
25,4653,4700,4747,
26,4473,4520,4566,
27,4293,4340,4386,
28,4094,4140,4185,
29,3925,3970,4014,
30,3744,3788,3831,
31,3606,3650,3693,
32,3457,3500,3542,
33,3317,3360,3402,
34,3168,3210,3251,
35,3031,3072,3112,
36,2920,2960,2999,
37,2810,2850,2889,
38,2691,2730,2768,
39,2582,2620,2657,
40,2468,2505,2541,
