#下起第一行必须是"type,NTC,", 后续各行是"名称,值,", 直到"###"打头行; 后续各行是表格;"#"打头行为注释行,表头#打头是格式行
type,NTC,
PN,pt1000-01,
model,PT1000,
value,1000,
precision,0.01,
X_unit,°C ,
Y_unit,ohm,

###下行为格式行
#Tempr.,Rmin,R,Rmax,
0,1000,
1,1003.908,
2,1007.814,
3,1011.72,
4,1015.624,
5,1019.527,
6,1023.429,
7,1027.33,
8,1031.229,
9,1035.128,
10,1039.025,
11,1042.921,
12,1046.816,
13,1050.71,
14,1054.603,
15,1058.495,
16,1062.385,
17,1066.274,
18,1070.162,
19,1074.049,
20,1077.935,
21,1081.82,
22,1085.703,
23,1089.585,
24,1093.467,
25,1097.347,
26,1101.225,
27,1105.103,
28,1108.98,
29,1112.855
30,1116.729,
31,1120.602,
32,1124.474,
33,1128.345,
34,1132.215,
35,1136.083,
36,1139.95,
37,1143.817,
38,1147.681,
39,1151.545
40,1155.408,
41,1159.27,
42,1163.13,
43,1166.989,
44,1170.847,
45,1174.704,
46,1178.56,
47,1182.414,
48,1186.268,
49,1190.12
50,1193.971,
51,1197.821,
52,1201.67,
53,1205.518,
54,1209.364,
55,1213.21,
56,1217.054,
57,1220.897,
58,1224.739,
59,1228.579,
60,1232.419,
61,1236.257,
62,1240.095,
63,1243.931,
64,1247.766,
65,1251.6,
66,1255.432,
67,1259.264,
68,1263.094,
69,1266.923,
