序号,结果,型号名称,SN编号,时间,
         1,Fail,Eawdfr2s3WEE,10p8-082wj490,2014-02-18 19:54:27,
         2,Fail,Eawdfr2s3WEE,10p8-082wj491,2014-02-18 19:54:28,
         3,Fail,Eawdfr2s3WEE,10p8-082wj492,2014-02-18 19:54:28,
         4,Fail,Eawdfr2s3WEE,10p8-082wj493,2014-02-18 19:54:29,
         5,Fail,Eawdfr2s3WEE,10p8-082wj494,2014-02-18 19:54:29,
         6,Fail,Eawdfr2s3WEE,10p8-082wj495,2014-02-18 19:54:29,
         7,Fail,Eawdfr2s3WEE,10p8-082wj496,2014-02-18 19:54:30,
         8,Fail,Eawdfr2s3WEE,10p8-082wj497,2014-02-18 19:54:30,
         9,Fail,Eawdfr2s3WEE,10p8-082wj498,2014-02-18 19:54:30,
        10,Fail,Eawdfr2s3WEE,10p8-082wj499,2014-02-18 19:54:31,
        11,Fail,Eawdfr2s3WEE,10p8-082wj500,2014-02-18 19:54:31,
        12,Fail,Eawdfr2s3WEE,10p8-082wj501,2014-02-18 19:54:31,
        13,Fail,Eawdfr2s3WEE,10p8-082wj502,2014-02-18 19:54:32,
        14,Fail,Eawdfr2s3WEE,10p8-082wj503,2014-02-18 19:54:32,
        15,Fail,Eawdfr2s3WEE,10p8-082wj504,2014-02-18 19:54:32,
        16,Fail,Eawdfr2s3WEE,10p8-082wj505,2014-02-18 19:54:32,
        17,Fail,Eawdfr2s3WEE,10p8-082wj506,2014-02-18 19:54:33,
        18,Fail,Eawdfr2s3WEE,10p8-082wj507,2014-02-18 19:54:33,
        19,Fail,Eawdfr2s3WEE,10p8-082wj508,2014-02-18 19:54:33,
        20,Fail,Eawdfr2s3WEE,10p8-082wj509,2014-02-18 19:54:34,
        21,Fail,Eawdfr2s3WEE,10p8-082wj510,2014-02-18 19:54:34,
        22,Fail,Eawdfr2s3WEE,10p8-082wj511,2014-02-18 19:54:34,
        23,Fail,Eawdfr2s3WEE,10p8-082wj512,2014-02-18 19:54:35,
        24,Fail,Eawdfr2s3WEE,10p8-082wj513,2014-02-18 19:54:35,
        25,Fail,Eawdfr2s3WEE,10p8-082wj514,2014-02-18 19:54:35,
